id,Quarter,PremiseType,AverageElectricConsumption,AverageBill
116,2015.4,HDB 5-Room,498.75,111.77
117,2016.1,HDB 5-Room,432.05,92.13
118,2016.2,HDB 5-Room,426.9,83.25
119,2016.3,HDB 5-Room,498.97,88.22
120,2016.4,HDB 5-Room,473.02,91.15
121,2017.1,HDB 5-Room,470.07,89.92
122,2017.2,HDB 5-Room,409.18,82.65
123,2017.3,HDB 5-Room,436.73,93.4
124,2017.4,HDB 5-Room,443.37,91.87
125,2018.1,HDB 5-Room,442.06,89.74
126,2018.2,HDB 5-Room,363.52,78.37
127,2018.3,HDB 5-Room,432,95.79
128,2018.4,HDB 5-Room,425.06,100.53
129,2019.1,HDB 5-Room,417.78,100.81
130,2019.2,HDB 5-Room,393.62,93.88
131,2019.3,HDB 5-Room,422.94,96.39
132,2019.4,HDB 5-Room,418.89,101.46
133,2020.1,HDB 5-Room,395.84,92.75
134,2020.2,HDB 5-Room,368.19,89.25
135,2020.3,HDB 5-Room,402.48,92.65
136,2020.4,HDB 5-Room,447.48,87.71
137,2021.1,HDB 5-Room,412.01,88.29
138,2021.2,HDB 5-Room,364.22,75.61
139,2021.3,HDB 5-Room,424.84,95.8
140,2021.4,HDB 5-Room,455.74,106.55
